"市町村","事業所数","従　業　者　数_男_（人）","従　業　者　数_女_（人）","従　業　者　数_計_（人）","事業に従事する者の人件費及び派遣受入者に係る人材・派遣会社への支払額_（万円）","原材料、燃料、電力の使用額等_（万円）","　　　　　　　　　製　　造　　品　　出　　荷　　額　　等_製造品出荷額_（万円）","　　　　　　　　　製　　造　　品　　出　　荷　　額　　等_加工賃収入額_（万円）","　　　　　　　　　製　　造　　品　　出　　荷　　額　　等_その他収入額_（万円）","　　　　　　　　　製　　造　　品　　出　　荷　　額　　等_くず・廃物の出荷額_（万円）","　　　　　　　　　製　　造　　品　　出　　荷　　額　　等_合   計_（万円）","付加価値額_（万円）"
"総　　　数","2106.0","34698.0","15847.0","50545.0","19919142.0","187455719.0","275271442.0","9179190.0","7544032.0","2176328.0","294170992.0","89203023.0"
"201_和歌山市","754.0","16541.0","5646.0","22187.0","10217760.0","93709044.0","138394516.0","4427545.0","5089529.0","2170764.0","150082354.0","51459190.0"
"202_海南市","196.0","2836.0","1272.0","4108.0","1561786.0","18586583.0","25156962.0","1541825.0","494157.0","1664.0","27194608.0","7314110.0"
"203_橋本市","111.0","867.0","598.0","1465.0","410327.0","1071411.0","1856247.0","281224.0","87480.0","-","2224951.0","1096909.0"
"204_有田市","71.0","1272.0","770.0","2042.0","921980.0","49922739.0","70605206.0","59538.0","                            ","-","70950505.0","11390927.0"
"205_御坊市","59.0","714.0","397.0","1111.0","376990.0","1425847.0","2295387.0","44374.0","104151.0","-","2443912.0","964163.0"
"206_田辺市","165.0","1204.0","1247.0","2451.0","681473.0","1840037.0","3184881.0","169582.0","175259.0","-","3529722.0","1548618.0"
"207_新宮市","39.0","445.0","325.0","770.0","195366.0","418725.0","836035.0","32749.0","42036.0","-","910820.0","475725.0"
"208_紀の川市","153.0","3265.0","1130.0","4395.0","1810751.0","7448219.0","11026642.0","1190398.0","570917.0","-","12787957.0","4733313.0"
"209_岩出市","42.0","524.0","407.0","931.0","238573.0","688416.0","916019.0","190952.0","93089.0","-","1200060.0","461643.0"
"304_紀美野町","45.0","400.0","243.0","643.0","188726.0","397547.0","783878.0","30013.0","16288.0","-","830179.0","396043.0"
"341_かつらぎ町","47.0","1137.0","585.0","1722.0","490384.0","2146865.0","3475972.0","280551.0","75020.0","-","3831543.0","1528725.0"
"343_九度山町","8.0","46.0","43.0","89.0","19520.0","31115.0","56974.0","23507.0","4702.0","-","85183.0","51477.0"
"344_高野町","11.0","47.0","71.0","118.0","44306.0","45345.0","134077.0","4592.0","-","-","138669.0","88662.0"
"361_湯浅町","36.0","256.0","176.0","432.0","112205.0","338021.0","586393.0","36344.0","32103.0","-","654840.0","302990.0"
"362_広川町","17.0","221.0","83.0","304.0","93930.0","425974.0","569214.0","9673.0","22110.0","-","600997.0","173037.0"
"366_有田川町","43.0","927.0","461.0","1388.0","506447.0","2635420.0","3374693.0","289408.0","210212.0","-","3874313.0","1134666.0"
"381_美浜町","14.0","100.0","92.0","192.0","63375.0","81505.0","235116.0","28715.0","4824.0","-","268655.0","175792.0"
"382_日高町","16.0","113.0","48.0","161.0","51128.0","167920.0","283877.0","13501.0","11562.0","3900.0","312840.0","136406.0"
"383_由良町","17.0","500.0","85.0","585.0","252666.0","729868.0","1940145.0","266318.0","24129.0","-","2230592.0","1466149.0"
"390_印南町","21.0","444.0","158.0","602.0","217680.0","635507.0","1700845.0","13938.0","8307.0","-","1723090.0","917713.0"
"391_みなべ町","88.0","809.0","874.0","1683.0","505962.0","1774073.0","2869917.0","50623.0","78199.0","-","2998739.0","1165352.0"
"392_日高川町","23.0","584.0","158.0","742.0","257791.0","955694.0","1557102.0","36985.0","22094.0","-","1616181.0","551813.0"
"401_白浜町","26.0","306.0","285.0","591.0","157687.0","362091.0","678677.0","200.0","44943.0","-","723820.0","357212.0"
"404_上富田町","33.0","720.0","351.0","1071.0","374499.0","1165978.0","1960193.0","105662.0","18968.0","-","2084823.0","890833.0"
"406_すさみ町","11.0","89.0","51.0","140.0","42098.0","140839.0","232177.0","33503.0","8575.0","-","274255.0","146212.0"
"421_那智勝浦町","22.0","124.0","125.0","249.0","51195.0","104561.0","220104.0","4714.0","6865.0","-","231683.0","120203.0"
"422_太地町","8.0","26.0","25.0","51.0","7533.0","16325.0","29522.0","1078.0","50.0","-","30650.0","13642.0"
"424_古座川町","5.0","17.0","24.0","41.0","χ","χ","χ","χ","χ","-","χ","χ"
"427_北山村","1.0","-","5.0","5.0","χ","χ","χ","χ","χ","-","χ","χ"
"428_串本町","24.0","164.0","112.0","276.0","59308.0","152010.0","251010.0","11647.0","7349.0","-","270006.0","115814.0"
