"市町村","事業所数","水源別工業用水量　　（立方メートル／１日）_淡水_工業用水道","水源別工業用水量　　（立方メートル／１日）_淡水_上水道","水源別工業用水量　　（立方メートル／１日）_淡水_井戸水","水源別工業用水量　　（立方メートル／１日）_淡水_その他","水源別工業用水量　　（立方メートル／１日）_淡水_回収水","水源別工業用水量　　（立方メートル／１日）_淡水_合計","水源別工業用水量　　（立方メートル／１日）_海水"
"総    　 数","353.0","448654.0","9834.0","39390.0","3680.0","1171545.0","1673103.0","1011403.0"
"201_和歌山市","134.0","345498.0","4354.0","3251.0","3172.0","974897.0","1331172.0","825794.0"
"202_海南市","31.0","34623.0","552.0","20.0","308.0","188281.0","223784.0","-"
"203_橋本市","8.0","-","42.0","14.0","-","-","56.0","-"
"204_有田市","12.0","63463.0","745.0","240.0","-","7413.0","71861.0","185609.0"
"205_御坊市","9.0","4112.0","116.0","580.0","30.0","-","4838.0","-"
"206_田辺市","18.0","-","526.0","717.0","160.0","-","1403.0","-"
"207_新宮市","4.0","-","21.0","-","-","-","21.0","-"
"208_紀の川市","43.0","958.0","435.0","9804.0","-","910.0","12107.0","-"
"209_岩出市","9.0","-","270.0","1889.0","-","-","2159.0","-"
"304_紀美野町","6.0","-","50.0","-","5.0","5.0","60.0","-"
"341_かつらぎ町","11.0","-","45.0","10035.0","-","24.0","10104.0","-"
"343_九度山町","-","-","-","-","-","-","-","-"
"344_高野町","-","-","-","-","-","-","-","-"
"361_湯浅町","3.0","-","50.0","-","5.0","-","55.0","-"
"362_広川町","2.0","-","χ","χ","-","-","χ","-"
"366_有田川町","12.0","-","187.0","266.0","-","10.0","463.0","-"
"381_美浜町","2.0","-","χ","-","-","-","χ","-"
"382_日高町","1.0","-","χ","χ","-","-","χ","-"
"383_由良町","4.0","-","548.0","-","-","-","548.0","-"
"390_印南町","4.0","-","138.0","-","-","-","138.0","-"
"391_みなべ町","15.0","-","526.0","4735.0","-","3.0","5264.0","-"
"392_日高川町","7.0","-","261.0","2617.0","-","-","2878.0","-"
"401_白浜町","4.0","-","391.0","400.0","-","-","791.0","-"
"404_上富田町","10.0","-","302.0","4737.0","-","-","5039.0","-"
"406_すさみ町","1.0","-","χ","-","-","χ","χ","-"
"421_那智勝浦町","1.0","-","χ","χ","-","χ","χ","-"
"422_太地町","-","-","-","-","-","-","-","-"
"424_古座川町","-","-","-","-","-","-","-","-"
"427_北山村","-","-","-","-","-","-","-","-"
"428_串本町","2.0","-","χ","-","-","-","χ","-"
