"市町村","事業所数","従　業　者　数_男_（人）","従　業　者　数_女_（人）","従　業　者　数_計_（人）","事業に従事する者の人件費及び派遣受入者に係る人材・派遣会社への支払額_（万円）","原材料、燃料、電力の使用額等_（万円）","　　　　　　　　　製　　造　　品　　出　　荷　　額　　等_製造品出荷額_（万円）","　　　　　　　　　製　　造　　品　　出　　荷　　額　　等_加工賃収入額_（万円）","　　　　　　　　　製　　造　　品　　出　　荷　　額　　等_その他収入額_（万円）","　　　　　　　　　製　　造　　品　　出　　荷　　額　　等_くず・廃物の出荷額_（万円）","　　　　　　　　　製　　造　　品　　出　　荷　　額　　等_合   計_（万円）","付加価値額_（万円）"
"【産業分類　09　食料品製造業】_総　　数","665.0","3783.0","4997.0","8780.0","2058525.0","7683074.0","12579836.0","394069.0","530458.0","-","13504363.0","5530899.0"
"【産業分類　09　食料品製造業】_和歌山市","116.0","1013.0","1424.0","2437.0","465254.0","1495225.0","2768447.0","122460.0","139082.0","-","3029989.0","1450556.0"
"【産業分類　09　食料品製造業】_海南市","27.0","118.0","94.0","212.0","45320.0","322296.0","390056.0","16266.0","78692.0","-","485014.0","152415.0"
"【産業分類　09　食料品製造業】_橋本市","23.0","39.0","52.0","91.0","9928.0","28612.0","52005.0","2423.0","1820.0","-","56248.0","26317.0"
"【産業分類　09　食料品製造業】_有田市","31.0","159.0","184.0","343.0","116660.0","444656.0","722725.0","949.0","1531.0","-","725205.0","282579.0"
"【産業分類　09　食料品製造業】_御坊市","29.0","80.0","146.0","226.0","33827.0","137098.0","222621.0","4387.0","3952.0","-","230960.0","89356.0"
"【産業分類　09　食料品製造業】_田辺市","132.0","570.0","862.0","1432.0","344599.0","1189824.0","2022883.0","59650.0","66274.0","-","2148807.0","881657.0"
"【産業分類　09　食料品製造業】_新宮市","22.0","61.0","74.0","135.0","20096.0","100692.0","139257.0","3915.0","22357.0","-","165529.0","61946.0"
"【産業分類　09　食料品製造業】_紀の川市","18.0","167.0","180.0","347.0","84950.0","446256.0","599951.0","64459.0","11918.0","-","676328.0","215393.0"
"【産業分類　09　食料品製造業】_岩出市","7.0","86.0","121.0","207.0","45347.0","227247.0","200321.0","70902.0","28109.0","-","299332.0","67591.0"
"【産業分類　09　食料品製造業】_紀美野町","3.0","4.0","8.0","12.0","1810.0","5669.0","7824.0","χ","χ","-","10569.0","4667.0"
"【産業分類　09　食料品製造業】_かつらぎ町","12.0","157.0","88.0","245.0","92728.0","553043.0","952308.0","4.0","-","-","952312.0","345522.0"
"【産業分類　09　食料品製造業】_九度山町","1.0","4.0","1.0","5.0","χ","χ","χ","-","-","-","χ","χ"
"【産業分類　09　食料品製造業】_高野町","6.0","20.0","23.0","43.0","18034.0","9912.0","43927.0","-","2376.0","-","46303.0","34652.0"
"【産業分類　09　食料品製造業】_湯浅町","28.0","88.0","113.0","201.0","50379.0","162353.0","253032.0","219.0","30728.0","-","283979.0","115224.0"
"【産業分類　09　食料品製造業】_広川町","3.0","17.0","25.0","42.0","12137.0","60646.0","76851.0","7047.0","-","-","83898.0","22145.0"
"【産業分類　09　食料品製造業】_有田川町","12.0","74.0","62.0","136.0","33830.0","186080.0","272356.0","700.0","825.0","-","273881.0","82124.0"
"【産業分類　09　食料品製造業】_美浜町","5.0","18.0","26.0","44.0","χ","χ","χ","-","χ","-","χ","χ"
"【産業分類　09　食料品製造業】_日高町","1.0","3.0","4.0","7.0","χ","χ","χ","χ","-","-","χ","χ"
"【産業分類　09　食料品製造業】_由良町","4.0","7.0","13.0","20.0","χ","χ","χ","-","χ","-","χ","χ"
"【産業分類　09　食料品製造業】_印南町","8.0","15.0","21.0","36.0","3887.0","7124.0","18446.0","100.0","10106.0","-","28652.0","20503.0"
"【産業分類　09　食料品製造業】_みなべ町","84.0","571.0","832.0","1403.0","405026.0","1399462.0","2262512.0","24260.0","87864.0","-","2374636.0","983519.0"
"【産業分類　09　食料品製造業】_日高川町","3.0","46.0","54.0","100.0","17687.0","104735.0","137939.0","4139.0","3983.0","-","146061.0","41301.0"
"【産業分類　09　食料品製造業】_白浜町","21.0","123.0","160.0","283.0","62810.0","301243.0","490960.0","-","7324.0","-","498284.0","199008.0"
"【産業分類　09　食料品製造業】_上富田町","14.0","148.0","153.0","301.0","106683.0","227784.0","485164.0","5933.0","11889.0","-","502986.0","250226.0"
"【産業分類　09　食料品製造業】_すさみ町","6.0","11.0","27.0","38.0","χ","χ","χ","χ","χ","-","χ","χ"
"【産業分類　09　食料品製造業】_那智勝浦町","20.0","80.0","121.0","201.0","34369.0","75961.0","167521.0","205.0","3777.0","-","171503.0","89512.0"
"【産業分類　09　食料品製造業】_太地町","8.0","26.0","25.0","51.0","7533.0","16325.0","29522.0","1078.0","50.0","-","30650.0","13642.0"
"【産業分類　09　食料品製造業】_古座川町","3.0","9.0","20.0","29.0","3871.0","7658.0","5907.0","31.0","5353.0","-","11291.0","3424.0"
"【産業分類　09　食料品製造業】_北山村","1.0","-","5.0","5.0","χ","χ","χ","-","-","-","χ","χ"
"【産業分類　09　食料品製造業】_串本町","17.0","69.0","79.0","148.0","21950.0","93775.0","126490.0","4385.0","6100.0","-","136975.0","44693.0"
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"【産業分類　10　飲料・たばこ・飼料製造業】_総　　数","57.0","1032.0","326.0","1358.0","508406.0","5175250.0","5043579.0","1634119.0","564311.0","1663.0","7243672.0","1693170.0"
"【産業分類　10　飲料・たばこ・飼料製造業】_和歌山市","4.0","56.0","26.0","82.0","23250.0","295649.0","49199.0","-","349643.0","-","398842.0","85006.0"
"【産業分類　10　飲料・たばこ・飼料製造業】_海南市","6.0","414.0","145.0","559.0","236522.0","2823654.0","2386929.0","1151950.0","106630.0","1663.0","3647172.0","656586.0"
"【産業分類　10　飲料・たばこ・飼料製造業】_橋本市","1.0","1.0","1.0","2.0","χ","χ","χ","-","-","χ","χ","χ"
"【産業分類　10　飲料・たばこ・飼料製造業】_有田市","4.0","19.0","16.0","35.0","6406.0","16658.0","29108.0","-","16382.0","-","45490.0","27460.0"
"【産業分類　10　飲料・たばこ・飼料製造業】_御坊市","4.0","15.0","3.0","18.0","χ","χ","χ","-","χ","-","χ","χ"
"【産業分類　10　飲料・たばこ・飼料製造業】_田辺市","10.0","25.0","14.0","39.0","11991.0","17542.0","34562.0","-","11120.0","-","45682.0","26717.0"
"【産業分類　10　飲料・たばこ・飼料製造業】_新宮市","2.0","13.0","5.0","18.0","χ","χ","χ","-","χ","-","χ","χ"
"【産業分類　10　飲料・たばこ・飼料製造業】_紀の川市","7.0","296.0","36.0","332.0","χ","χ","χ","χ","χ","-","χ","χ"
"【産業分類　10　飲料・たばこ・飼料製造業】_岩出市","1.0","13.0","3.0","16.0","χ","χ","χ","-","-","-","χ","χ"
"【産業分類　10　飲料・たばこ・飼料製造業】_紀美野町","1.0","1.0","1.0","2.0","χ","χ","χ","-","-","-","χ","χ"
"【産業分類　10　飲料・たばこ・飼料製造業】_かつらぎ町","3.0","58.0","28.0","86.0","35006.0","343971.0","526574.0","27508.0","11651.0","-","565733.0","191557.0"
"【産業分類　10　飲料・たばこ・飼料製造業】_九度山町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　10　飲料・たばこ・飼料製造業】_高野町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　10　飲料・たばこ・飼料製造業】_湯浅町","1.0","13.0","4.0","17.0","χ","χ","χ","-","-","-","χ","χ"
"【産業分類　10　飲料・たばこ・飼料製造業】_広川町","1.0","1.0","2.0","3.0","χ","χ","χ","-","-","-","χ","χ"
"【産業分類　10　飲料・たばこ・飼料製造業】_有田川町","2.0","1.0","2.0","3.0","χ","χ","χ","-","χ","-","χ","χ"
"【産業分類　10　飲料・たばこ・飼料製造業】_美浜町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　10　飲料・たばこ・飼料製造業】_日高町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　10　飲料・たばこ・飼料製造業】_由良町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　10　飲料・たばこ・飼料製造業】_印南町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　10　飲料・たばこ・飼料製造業】_みなべ町","4.0","39.0","22.0","61.0","χ","χ","χ","-","χ","χ","χ","χ"
"【産業分類　10　飲料・たばこ・飼料製造業】_日高川町","1.0","52.0","8.0","60.0","χ","χ","χ","χ","χ","-","χ","χ"
"【産業分類　10　飲料・たばこ・飼料製造業】_白浜町","3.0","10.0","7.0","17.0","1642.0","3057.0","9362.0","-","-","-","9362.0","5159.0"
"【産業分類　10　飲料・たばこ・飼料製造業】_上富田町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　10　飲料・たばこ・飼料製造業】_すさみ町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　10　飲料・たばこ・飼料製造業】_那智勝浦町","1.0","1.0","1.0","2.0","χ","χ","χ","-","-","-","χ","χ"
"【産業分類　10　飲料・たばこ・飼料製造業】_太地町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　10　飲料・たばこ・飼料製造業】_古座川町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　10　飲料・たばこ・飼料製造業】_北山村","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　10　飲料・たばこ・飼料製造業】_串本町","1.0","4.0","2.0","6.0","χ","χ","χ","-","-","-","χ","χ"
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"【産業分類　11　繊維工業】_総　　数","636.0","2709.0","2621.0","5330.0","1347211.0","4138723.0","5262215.0","2170300.0","152854.0","5.0","7585374.0","3246975.0"
"【産業分類　11　繊維工業】_和歌山市","196.0","1106.0","1080.0","2186.0","641811.0","1952612.0","1899210.0","1399297.0","49736.0","5.0","3348248.0","1309455.0"
"【産業分類　11　繊維工業】_海南市","63.0","289.0","273.0","562.0","142419.0","633566.0","1230600.0","26788.0","24854.0","-","1282242.0","613810.0"
"【産業分類　11　繊維工業】_橋本市","136.0","364.0","272.0","636.0","118339.0","269420.0","345133.0","185793.0","53747.0","-","584673.0","295912.0"
"【産業分類　11　繊維工業】_有田市","28.0","48.0","90.0","138.0","16200.0","43000.0","72674.0","18794.0","959.0","-","92427.0","47350.0"
"【産業分類　11　繊維工業】_御坊市","8.0","28.0","33.0","61.0","15178.0","36416.0","42181.0","19590.0","410.0","-","62181.0","24882.0"
"【産業分類　11　繊維工業】_田辺市","19.0","34.0","105.0","139.0","22454.0","11383.0","14498.0","34964.0","4249.0","-","53711.0","40171.0"
"【産業分類　11　繊維工業】_新宮市","3.0","7.0","4.0","11.0","2393.0","1070.0","1425.0","3635.0","-","-","5060.0","3800.0"
"【産業分類　11　繊維工業】_紀の川市","45.0","324.0","279.0","603.0","169058.0","456475.0","675242.0","203554.0","12676.0","-","891472.0","414614.0"
"【産業分類　11　繊維工業】_岩出市","5.0","34.0","48.0","82.0","χ","χ","χ","χ","-","-","χ","χ"
"【産業分類　11　繊維工業】_紀美野町","34.0","91.0","67.0","158.0","31184.0","87916.0","152647.0","18004.0","808.0","-","171459.0","81149.0"
"【産業分類　11　繊維工業】_かつらぎ町","36.0","128.0","91.0","219.0","46798.0","186994.0","240979.0","51142.0","-","-","292121.0","98129.0"
"【産業分類　11　繊維工業】_九度山町","5.0","12.0","24.0","36.0","7373.0","15730.0","35446.0","3227.0","502.0","-","39175.0","22321.0"
"【産業分類　11　繊維工業】_高野町","2.0","2.0","2.0","4.0","χ","χ","χ","χ","χ","-","χ","χ"
"【産業分類　11　繊維工業】_湯浅町","6.0","7.0","13.0","20.0","2369.0","2783.0","589.0","5420.0","-","-","6009.0","3079.0"
"【産業分類　11　繊維工業】_広川町","5.0","5.0","21.0","26.0","χ","χ","χ","χ","-","-","χ","χ"
"【産業分類　11　繊維工業】_有田川町","20.0","85.0","71.0","156.0","35113.0","213783.0","256954.0","10738.0","204.0","-","267896.0","56104.0"
"【産業分類　11　繊維工業】_美浜町","3.0","9.0","28.0","37.0","8112.0","5777.0","46743.0","2200.0","-","-","48943.0","41111.0"
"【産業分類　11　繊維工業】_日高町","3.0","5.0","11.0","16.0","2737.0","42797.0","38923.0","10381.0","-","-","49304.0","6197.0"
"【産業分類　11　繊維工業】_由良町","1.0","1.0","-","1.0","-","χ","-","χ","χ","-","χ","χ"
