"市町村","事業所数","従　業　者　数_男_（人）","従　業　者　数_女_（人）","従　業　者　数_計_（人）","事業に従事する者の人件費及び派遣受入者に係る人材・派遣会社への支払額_（万円）","原材料、燃料、電力の使用額等_（万円）","　　　　　　　　　製　　造　　品　　出　　荷　　額　　等_製造品出荷額_（万円）","　　　　　　　　　製　　造　　品　　出　　荷　　額　　等_加工賃収入額_（万円）","　　　　　　　　　製　　造　　品　　出　　荷　　額　　等_その他収入額_（万円）","　　　　　　　　　製　　造　　品　　出　　荷　　額　　等_くず・廃物の出荷額_（万円）","　　　　　　　　　製　　造　　品　　出　　荷　　額　　等_合   計_（万円）","付加価値額_（万円）"
"【産業分類　11　繊維工業】_印南町","3.0","6.0","9.0","15.0","2414.0","1162.0","675.0","2827.0","-","-","3502.0","2229.0"
"【産業分類　11　繊維工業】_みなべ町","3.0","39.0","10.0","49.0","14110.0","3524.0","8700.0","22563.0","4639.0","-","35902.0","22647.0"
"【産業分類　11　繊維工業】_日高川町","3.0","4.0","10.0","14.0","2666.0","2530.0","5325.0","1000.0","-","-","6325.0","3615.0"
"【産業分類　11　繊維工業】_白浜町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　11　繊維工業】_上富田町","4.0","65.0","54.0","119.0","36316.0","143974.0","184940.0","47242.0","-","-","232182.0","80520.0"
"【産業分類　11　繊維工業】_すさみ町","1.0","1.0","3.0","4.0","χ","χ","-","χ","-","-","χ","χ"
"【産業分類　11　繊維工業】_那智勝浦町","1.0","6.0","1.0","7.0","χ","χ","-","χ","-","-","χ","χ"
"【産業分類　11　繊維工業】_太地町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　11　繊維工業】_古座川町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　11　繊維工業】_北山村","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　11　繊維工業】_串本町","3.0","9.0","22.0","31.0","4740.0","1130.0","5000.0","5075.0","-","-","10075.0","8519.0"
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"【産業分類　12　木材・木製品製造業（家具を除く）】_総　　数","243.0","1252.0","408.0","1660.0","480245.0","1738889.0","3077036.0","97679.0","310639.0","3901.0","3489255.0","1646650.0"
"【産業分類　12　木材・木製品製造業（家具を除く）】_和歌山市","61.0","344.0","126.0","470.0","160338.0","916372.0","1161738.0","12614.0","219884.0","-","1394236.0","459405.0"
"【産業分類　12　木材・木製品製造業（家具を除く）】_海南市","18.0","61.0","16.0","77.0","13693.0","54618.0","56032.0","5429.0","15219.0","1.0","76681.0","21012.0"
"【産業分類　12　木材・木製品製造業（家具を除く）】_橋本市","11.0","28.0","13.0","41.0","5695.0","14501.0","25478.0","908.0","526.0","-","26912.0","11821.0"
"【産業分類　12　木材・木製品製造業（家具を除く）】_有田市","6.0","10.0","6.0","16.0","1304.0","3165.0","6072.0","-","2526.0","-","8598.0","5175.0"
"【産業分類　12　木材・木製品製造業（家具を除く）】_御坊市","10.0","81.0","14.0","95.0","25159.0","62741.0","106895.0","542.0","4829.0","-","112266.0","41905.0"
"【産業分類　12　木材・木製品製造業（家具を除く）】_田辺市","31.0","192.0","59.0","251.0","82328.0","198955.0","349726.0","10834.0","22940.0","-","383500.0","150127.0"
"【産業分類　12　木材・木製品製造業（家具を除く）】_新宮市","14.0","50.0","10.0","60.0","15292.0","27698.0","61463.0","4136.0","5728.0","-","71327.0","42375.0"
"【産業分類　12　木材・木製品製造業（家具を除く）】_紀の川市","17.0","120.0","51.0","171.0","53781.0","90854.0","538401.0","3364.0","3190.0","-","544955.0","430276.0"
"【産業分類　12　木材・木製品製造業（家具を除く）】_岩出市","2.0","3.0","3.0","6.0","χ","χ","χ","-","-","-","χ","χ"
"【産業分類　12　木材・木製品製造業（家具を除く）】_紀美野町","3.0","6.0","2.0","8.0","739.0","3325.0","2424.0","18.0","2315.0","-","4757.0","1363.0"
"【産業分類　12　木材・木製品製造業（家具を除く）】_かつらぎ町","10.0","57.0","11.0","68.0","13587.0","138392.0","277326.0","4941.0","850.0","-","283117.0","146297.0"
"【産業分類　12　木材・木製品製造業（家具を除く）】_九度山町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　12　木材・木製品製造業（家具を除く）】_高野町","9.0","15.0","23.0","38.0","8292.0","3677.0","27703.0","3800.0","45.0","-","31548.0","26542.0"
"【産業分類　12　木材・木製品製造業（家具を除く）】_湯浅町","5.0","47.0","10.0","57.0","χ","χ","χ","χ","χ","-","χ","χ"
"【産業分類　12　木材・木製品製造業（家具を除く）】_広川町","4.0","15.0","6.0","21.0","χ","χ","χ","χ","χ","-","χ","χ"
"【産業分類　12　木材・木製品製造業（家具を除く）】_有田川町","11.0","27.0","9.0","36.0","5262.0","29392.0","55806.0","830.0","12334.0","-","68970.0","37693.0"
"【産業分類　12　木材・木製品製造業（家具を除く）】_美浜町","5.0","30.0","16.0","46.0","χ","χ","χ","-","χ","-","χ","χ"
"【産業分類　12　木材・木製品製造業（家具を除く）】_日高町","3.0","8.0","3.0","11.0","3949.0","4916.0","12668.0","-","-","3900.0","16568.0","11097.0"
"【産業分類　12　木材・木製品製造業（家具を除く）】_由良町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　12　木材・木製品製造業（家具を除く）】_印南町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　12　木材・木製品製造業（家具を除く）】_みなべ町","4.0","12.0","3.0","15.0","χ","χ","χ","-","χ","-","χ","χ"
"【産業分類　12　木材・木製品製造業（家具を除く）】_日高川町","1.0","4.0","1.0","5.0","χ","χ","χ","χ","χ","-","χ","χ"
"【産業分類　12　木材・木製品製造業（家具を除く）】_白浜町","3.0","13.0","3.0","16.0","4834.0","10216.0","21456.0","200.0","-","-","21656.0","11085.0"
"【産業分類　12　木材・木製品製造業（家具を除く）】_上富田町","4.0","38.0","7.0","45.0","15891.0","28970.0","74588.0","67.0","-","-","74655.0","43509.0"
"【産業分類　12　木材・木製品製造業（家具を除く）】_すさみ町","3.0","47.0","7.0","54.0","21379.0","90987.0","140147.0","29074.0","-","-","169221.0","74422.0"
"【産業分類　12　木材・木製品製造業（家具を除く）】_那智勝浦町","2.0","11.0","3.0","14.0","χ","χ","χ","χ","χ","-","χ","χ"
"【産業分類　12　木材・木製品製造業（家具を除く）】_太地町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　12　木材・木製品製造業（家具を除く）】_古座川町","2.0","4.0","2.0","6.0","χ","χ","χ","-","-","-","χ","χ"
"【産業分類　12　木材・木製品製造業（家具を除く）】_北山村","1.0","1.0","1.0","2.0","-","χ","χ","-","-","-","χ","χ"
"【産業分類　12　木材・木製品製造業（家具を除く）】_串本町","3.0","28.0","3.0","31.0","8045.0","10202.0","26039.0","-","780.0","-","26819.0","16124.0"
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"【産業分類　13　家具・装備品製造業】_総　　数","329.0","1279.0","526.0","1805.0","400369.0","1077520.0","1792194.0","28224.0","65142.0","-","1885560.0","776703.0"
"【産業分類　13　家具・装備品製造業】_和歌山市","191.0","821.0","282.0","1103.0","263903.0","644590.0","1096235.0","16804.0","27627.0","-","1140666.0","475090.0"
"【産業分類　13　家具・装備品製造業】_海南市","24.0","98.0","43.0","141.0","36210.0","80701.0","145826.0","2196.0","257.0","-","148279.0","64291.0"
"【産業分類　13　家具・装備品製造業】_橋本市","9.0","22.0","8.0","30.0","5123.0","48256.0","70258.0","260.0","545.0","-","71063.0","22678.0"
"【産業分類　13　家具・装備品製造業】_有田市","3.0","4.0","2.0","6.0","275.0","1520.0","2406.0","50.0","-","-","2456.0","892.0"
"【産業分類　13　家具・装備品製造業】_御坊市","4.0","5.0","3.0","8.0","137.0","1365.0","1776.0","89.0","450.0","-","2315.0","904.0"
"【産業分類　13　家具・装備品製造業】_田辺市","30.0","53.0","18.0","71.0","7019.0","16890.0","34551.0","370.0","1144.0","-","36065.0","18263.0"
"【産業分類　13　家具・装備品製造業】_新宮市","7.0","12.0","4.0","16.0","2004.0","3915.0","6901.0","2450.0","-","-","9351.0","5179.0"
"【産業分類　13　家具・装備品製造業】_紀の川市","10.0","36.0","14.0","50.0","10072.0","48370.0","50639.0","1090.0","34664.0","-","86393.0","37653.0"
"【産業分類　13　家具・装備品製造業】_岩出市","2.0","15.0","91.0","106.0","χ","χ","χ","-","-","-","χ","χ"
"【産業分類　13　家具・装備品製造業】_紀美野町","1.0","9.0","9.0","18.0","χ","χ","χ","-","-","-","χ","χ"
"【産業分類　13　家具・装備品製造業】_かつらぎ町","5.0","15.0","4.0","19.0","2382.0","8127.0","13531.0","-","61.0","-","13592.0","5205.0"
"【産業分類　13　家具・装備品製造業】_九度山町","3.0","5.0","11.0","16.0","1753.0","1093.0","2093.0","2835.0","-","-","4928.0","3653.0"
"【産業分類　13　家具・装備品製造業】_高野町","2.0","4.0","3.0","7.0","χ","χ","χ","χ","-","-","χ","χ"
"【産業分類　13　家具・装備品製造業】_湯浅町","3.0","3.0","1.0","4.0","-","635.0","960.0","160.0","-","-","1120.0","462.0"
"【産業分類　13　家具・装備品製造業】_広川町","1.0","79.0","7.0","86.0","χ","χ","χ","-","-","-","χ","χ"
"【産業分類　13　家具・装備品製造業】_有田川町","3.0","5.0","2.0","7.0","1084.0","2022.0","4302.0","χ","χ","-","4386.0","2251.0"
"【産業分類　13　家具・装備品製造業】_美浜町","3.0","7.0","2.0","9.0","1372.0","1236.0","2619.0","-","-","-","2619.0","1317.0"
"【産業分類　13　家具・装備品製造業】_日高町","3.0","7.0","2.0","9.0","1012.0","4801.0","7069.0","χ","χ","-","7232.0","2315.0"
"【産業分類　13　家具・装備品製造業】_由良町","2.0","6.0","1.0","7.0","χ","χ","χ","-","-","-","χ","χ"
"【産業分類　13　家具・装備品製造業】_印南町","3.0","8.0","4.0","12.0","1316.0","2728.0","5541.0","χ","χ","-","6528.0","3619.0"
"【産業分類　13　家具・装備品製造業】_みなべ町","2.0","2.0","1.0","3.0","χ","χ","χ","-","-","-","χ","χ"
"【産業分類　13　家具・装備品製造業】_日高川町","1.0","42.0","6.0","48.0","χ","χ","χ","-","-","-","χ","χ"
"【産業分類　13　家具・装備品製造業】_白浜町","6.0","9.0","5.0","14.0","1238.0","3304.0","5199.0","-","-","-","5199.0","1805.0"
"【産業分類　13　家具・装備品製造業】_上富田町","2.0","2.0","-","2.0","-","χ","χ","-","χ","-","χ","χ"
"【産業分類　13　家具・装備品製造業】_すさみ町","1.0","1.0","-","1.0","-","χ","χ","χ","χ","-","χ","χ"
"【産業分類　13　家具・装備品製造業】_那智勝浦町","3.0","4.0","1.0","5.0","96.0","498.0","1146.0","-","-","-","1146.0","617.0"
"【産業分類　13　家具・装備品製造業】_太地町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　13　家具・装備品製造業】_古座川町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　13　家具・装備品製造業】_北山村","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　13　家具・装備品製造業】_串本町","5.0","5.0","2.0","7.0","282.0","729.0","2046.0","-","-","-","2046.0","1254.0"
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"【産業分類　14　パルプ・紙・紙加工品製造業】_総　　数","53.0","489.0","244.0","733.0","254390.0","1231277.0","1820199.0","28630.0","170603.0","-","2019432.0","703797.0"
"【産業分類　14　パルプ・紙・紙加工品製造業】_和歌山市","16.0","156.0","113.0","269.0","88386.0","339570.0","584194.0","4584.0","23782.0","-","612560.0","239964.0"
"【産業分類　14　パルプ・紙・紙加工品製造業】_海南市","9.0","24.0","16.0","40.0","11534.0","28820.0","51594.0","1224.0","3186.0","-","56004.0","26234.0"
"【産業分類　14　パルプ・紙・紙加工品製造業】_橋本市","6.0","25.0","15.0","40.0","9901.0","19099.0","30949.0","1148.0","-","-","32097.0","12378.0"
"【産業分類　14　パルプ・紙・紙加工品製造業】_有田市","1.0","21.0","2.0","23.0","χ","χ","χ","-","-","-","χ","χ"
"【産業分類　14　パルプ・紙・紙加工品製造業】_御坊市","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　14　パルプ・紙・紙加工品製造業】_田辺市","5.0","39.0","25.0","64.0","19649.0","59161.0","103865.0","8824.0","17754.0","-","130443.0","67887.0"
"【産業分類　14　パルプ・紙・紙加工品製造業】_新宮市","3.0","4.0","5.0","9.0","388.0","1350.0","3625.0","χ","χ","-","3865.0","2396.0"
"【産業分類　14　パルプ・紙・紙加工品製造業】_紀の川市","6.0","197.0","53.0","250.0","109110.0","755545.0","957032.0","9980.0","125501.0","-","1092513.0","293786.0"
"【産業分類　14　パルプ・紙・紙加工品製造業】_岩出市","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　14　パルプ・紙・紙加工品製造業】_紀美野町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　14　パルプ・紙・紙加工品製造業】_かつらぎ町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　14　パルプ・紙・紙加工品製造業】_九度山町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　14　パルプ・紙・紙加工品製造業】_高野町","2.0","4.0","1.0","5.0","χ","χ","-","χ","-","-","χ","χ"
"【産業分類　14　パルプ・紙・紙加工品製造業】_湯浅町","1.0","2.0","2.0","4.0","χ","χ","-","χ","-","-","χ","χ"
"【産業分類　14　パルプ・紙・紙加工品製造業】_広川町","1.0","1.0","6.0","7.0","χ","χ","-","χ","χ","-","χ","χ"
"【産業分類　14　パルプ・紙・紙加工品製造業】_有田川町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　14　パルプ・紙・紙加工品製造業】_美浜町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　14　パルプ・紙・紙加工品製造業】_日高町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　14　パルプ・紙・紙加工品製造業】_由良町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　14　パルプ・紙・紙加工品製造業】_印南町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　14　パルプ・紙・紙加工品製造業】_みなべ町","1.0","7.0","2.0","9.0","χ","χ","χ","-","-","-","χ","χ"
"【産業分類　14　パルプ・紙・紙加工品製造業】_日高川町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　14　パルプ・紙・紙加工品製造業】_白浜町","1.0","1.0","1.0","2.0","χ","χ","χ","-","-","-","χ","χ"
"【産業分類　14　パルプ・紙・紙加工品製造業】_上富田町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　14　パルプ・紙・紙加工品製造業】_すさみ町","-","-","-","-","-","-","-","-","-","-","-","-"
"【産業分類　14　パルプ・紙・紙加工品製造業】_那智勝浦町","-","-","-","-","-","-","-","-","-","-","-","-"
