"従業者規模","事業所数","従　　業　　者　　数_常用労働者_男_（人）","従　　業　　者　　数_常用労働者_女_（人）","従　　業　　者　　数_常用労働者_小計_（人）","従　　業　　者　　数_個人事業主等_男_（人）","従　　業　　者　　数_個人事業主等_女_（人）","従　　業　　者　　数_個人事業主等_小計_（人）","従　　業　　者　　数_合　計_（人）","事業に従事する者の人件費及び派遣受入者に係る人材・派遣会社への支払額_（万円）","原材料、燃料、電力の使用額等_（万円）","製　造　品　出　荷　額　等_製造品出荷額_（万円）","製　造　品　出　荷　額　等_加工賃収入額_（万円）","製　造　品　出　荷　額　等_その他収入額_（万円）","製　造　品　出　荷　額　等_くず・廃物の出荷額_（万円）","製　造　品　出　荷　額　等_合   計_（万円）","付加価値額　　_（万円）"
"総数","3621.0","34887.0","16222.0","51109.0","1763.0","800.0","2563.0","53672.0","2.0234056E7","1.88424865E8","2.7693049E8","9471501.0","7700350.0","2176328.0","2.96278669E8","9.0294743E7"
"総数_  1～  3人","1515.0","736.0","632.0","1368.0","1216.0","543.0","1759.0","3127.0","314914.0","969146.0","1659048.0","292311.0","156318.0","-","2107677.0","1091720.0"
"総数_  4～  9人","1136.0","3312.0","2645.0","5957.0","491.0","245.0","736.0","6693.0","1525869.0","3640413.0","6101272.0","858136.0","547067.0","4359.0","7510834.0","3715540.0"
"総数_ 10～ 19人","437.0","3622.0","2323.0","5945.0","48.0","11.0","59.0","6004.0","1729463.0","6168328.0","9271272.0","884294.0","443094.0","55048.0","1.0653708E7","4308900.0"
"総数_ 20～ 29人","180.0","2599.0","1704.0","4303.0","7.0","1.0","8.0","4311.0","1299219.0","3959496.0","6451351.0","818952.0","348339.0","1663.0","7620305.0","3521860.0"
"総数_ 30～ 99人","281.0","10149.0","4747.0","14896.0","1.0","-","1.0","14897.0","5555015.0","2.5140905E7","3.7666496E7","2953991.0","1773942.0","-","4.2394429E7","1.5511954E7"
"総数_100～299人","60.0","6753.0","2724.0","9477.0","-","-","-","9477.0","4228227.0","2.3121668E7","3.3229026E7","3278740.0","767208.0","-","3.7274974E7","1.2793876E7"
"総数_300人以上","12.0","7716.0","1447.0","9163.0","-","-","-","9163.0","5581349.0","1.25424909E8","1.82552025E8","385077.0","3664382.0","2115258.0","1.88716742E8","4.9350893E7"
"09　食料","665.0","3442.0","4792.0","8234.0","341.0","205.0","546.0","8780.0","2058525.0","7683074.0","1.2579836E7","394069.0","530458.0","-","1.3504363E7","5530899.0"
"09　食料_  1～  3人","209.0","78.0","99.0","177.0","169.0","110.0","279.0","456.0","36671.0","134045.0","244713.0","4390.0","36546.0","-","285649.0","145577.0"
"09　食料_  4～  9人","246.0","486.0","816.0","1302.0","149.0","91.0","240.0","1542.0","265698.0","681262.0","1163558.0","61864.0","108313.0","-","1333735.0","625706.0"
