"従業者規模","事業所数","従　　業　　者　　数_常用労働者_男_（人）","従　　業　　者　　数_常用労働者_女_（人）","従　　業　　者　　数_常用労働者_小計_（人）","従　　業　　者　　数_個人事業主等_男_（人）","従　　業　　者　　数_個人事業主等_女_（人）","従　　業　　者　　数_個人事業主等_小計_（人）","従　　業　　者　　数_合　計_（人）","事業に従事する者の人件費及び派遣受入者に係る人材・派遣会社への支払額_（万円）","原材料、燃料、電力の使用額等_（万円）","製　造　品　出　荷　額　等_製造品出荷額_（万円）","製　造　品　出　荷　額　等_加工賃収入額_（万円）","製　造　品　出　荷　額　等_その他収入額_（万円）","製　造　品　出　荷　額　等_くず・廃物の出荷額_（万円）","製　造　品　出　荷　額　等_合   計_（万円）","付加価値額　　_（万円）"
"09　食料_ 10～ 19人","97.0","495.0","817.0","1312.0","21.0","4.0","25.0","1337.0","305216.0","940047.0","1562390.0","59743.0","80500.0","-","1702633.0","731554.0"
"09　食料_ 20～ 29人","49.0","420.0","727.0","1147.0","2.0","-","2.0","1149.0","284688.0","945136.0","1558803.0","84212.0","102955.0","-","1745970.0","768032.0"
"09　食料_ 30～ 99人","55.0","1295.0","1565.0","2860.0","-","-","-","2860.0","858540.0","3675552.0","5380858.0","183860.0","197199.0","-","5761917.0","1930205.0"
"09　食料_100～299人","8.0","408.0","710.0","1118.0","-","-","-","1118.0","χ","χ","χ","-","χ","-","χ","χ"
"09　食料_300人以上","1.0","260.0","58.0","318.0","-","-","-","318.0","χ","χ","χ","-","χ","-","χ","χ"
"10　飲料","57.0","1023.0","319.0","1342.0","9.0","7.0","16.0","1358.0","508406.0","5175250.0","5043579.0","1634119.0","564311.0","1663.0","7243672.0","1693170.0"
"10　飲料_  1～  3人","20.0","15.0","13.0","28.0","7.0","6.0","13.0","41.0","6624.0","21956.0","28893.0","-","30266.0","-","59159.0","35429.0"
"10　飲料_  4～  9人","17.0","61.0","33.0","94.0","2.0","1.0","3.0","97.0","27239.0","46160.0","89954.0","-","35647.0","-","125601.0","74102.0"
"10　飲料_ 10～ 19人","6.0","69.0","21.0","90.0","-","-","-","90.0","26252.0","26843.0","127840.0","-","4951.0","-","132791.0","96497.0"
"10　飲料_ 20～ 29人","4.0","60.0","41.0","101.0","-","-","-","101.0","30010.0","65136.0","143581.0","-","25866.0","1663.0","171110.0","84631.0"
"10　飲料_ 30～ 99人","6.0","269.0","84.0","353.0","-","-","-","353.0","133363.0","2232848.0","2367753.0","415428.0","347895.0","-","3131076.0","715636.0"
"10　飲料_100～299人","4.0","549.0","127.0","676.0","-","-","-","676.0","284918.0","2782307.0","2285558.0","1218691.0","119686.0","-","3623935.0","686875.0"
"10　飲料_300人以上","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"11　繊維","636.0","2338.0","2402.0","4740.0","371.0","219.0","590.0","5330.0","1347211.0","4138723.0","5262215.0","2170300.0","152854.0","5.0","7585374.0","3246975.0"
"11　繊維_  1～  3人","319.0","88.0","157.0","245.0","268.0","158.0","426.0","671.0","51095.0","107537.0","159036.0","105983.0","4613.0","-","269632.0","154408.0"
"11　繊維_  4～  9人","203.0","419.0","625.0","1044.0","94.0","58.0","152.0","1196.0","216854.0","485728.0","689456.0","298081.0","90526.0","5.0","1078068.0","566868.0"
"11　繊維_ 10～ 19人","56.0","311.0","450.0","761.0","7.0","2.0","9.0","770.0","178944.0","755986.0","965537.0","278767.0","6358.0","-","1250662.0","473166.0"
"11　繊維_ 20～ 29人","28.0","357.0","310.0","667.0","2.0","1.0","3.0","670.0","201504.0","697217.0","968835.0","245615.0","28524.0","-","1242974.0","533442.0"
"11　繊維_ 30～ 99人","26.0","867.0","597.0","1464.0","-","-","-","1464.0","489466.0","1794677.0","2353682.0","690599.0","8201.0","-","3052482.0","1174458.0"
"11　繊維_100～299人","4.0","296.0","263.0","559.0","-","-","-","559.0","209348.0","297578.0","125669.0","551255.0","14632.0","-","691556.0","344633.0"
"11　繊維_300人以上","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"12　木材","243.0","1121.0","362.0","1483.0","131.0","46.0","177.0","1660.0","480245.0","1738889.0","3077036.0","97679.0","310639.0","3901.0","3489255.0","1646650.0"
"12　木材_  1～  3人","132.0","86.0","56.0","142.0","101.0","37.0","138.0","280.0","32008.0","123910.0","297371.0","18805.0","28346.0","-","344522.0","215146.0"
"12　木材_  4～  9人","68.0","254.0","108.0","362.0","28.0","8.0","36.0","398.0","95779.0","323558.0","425031.0","12003.0","95440.0","3900.0","536374.0","204275.0"
"12　木材_ 10～ 19人","27.0","273.0","80.0","353.0","2.0","1.0","3.0","356.0","97433.0","388193.0","602239.0","12563.0","9468.0","1.0","624271.0","226382.0"
"12　木材_ 20～ 29人","8.0","147.0","56.0","203.0","-","-","-","203.0","69779.0","173915.0","342726.0","49708.0","3310.0","-","395744.0","211151.0"
"12　木材_ 30～ 99人","8.0","361.0","62.0","423.0","-","-","-","423.0","185246.0","729313.0","1409669.0","4600.0","174075.0","-","1588344.0","789696.0"
"12　木材_100～299人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"12　木材_300人以上","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"13　家具","329.0","1033.0","456.0","1489.0","246.0","70.0","316.0","1805.0","400369.0","1077520.0","1792194.0","28224.0","65142.0","-","1885560.0","776703.0"
"13　家具_  1～  3人","197.0","89.0","53.0","142.0","187.0","57.0","244.0","386.0","29643.0","93299.0","159476.0","12248.0","1961.0","-","173685.0","76591.0"
"13　家具_  4～  9人","93.0","305.0","129.0","434.0","55.0","13.0","68.0","502.0","107360.0","212723.0","399147.0","8501.0","9994.0","-","417642.0","195160.0"
"13　家具_ 10～ 19人","26.0","251.0","91.0","342.0","2.0","-","2.0","344.0","106764.0","275790.0","430338.0","7475.0","51758.0","-","489571.0","206793.0"
"13　家具_ 20～ 29人","7.0","121.0","46.0","167.0","2.0","-","2.0","169.0","42541.0","127285.0","219985.0","-","1429.0","-","221414.0","90107.0"
"13　家具_ 30～ 99人","4.0","169.0","31.0","200.0","-","-","-","200.0","χ","χ","χ","-","-","-","χ","χ"
"13　家具_100～299人","2.0","98.0","106.0","204.0","-","-","-","204.0","χ","χ","χ","-","-","-","χ","χ"
"13　家具_300人以上","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"14　紙パ","53.0","468.0","232.0","700.0","21.0","12.0","33.0","733.0","254390.0","1231277.0","1820199.0","28630.0","170603.0","-","2019432.0","703797.0"
"14　紙パ_  1～  3人","12.0","8.0","7.0","15.0","8.0","6.0","14.0","29.0","3166.0","7088.0","16129.0","1830.0","240.0","-","18199.0","10582.0"
"14　紙パ_  4～  9人","23.0","65.0","53.0","118.0","12.0","5.0","17.0","135.0","29727.0","57976.0","101640.0","13211.0","14639.0","-","129490.0","68668.0"
"14　紙パ_ 10～ 19人","10.0","90.0","51.0","141.0","1.0","1.0","2.0","143.0","46168.0","129653.0","210444.0","3609.0","12469.0","-","226522.0","92823.0"
"14　紙パ_ 20～ 29人","3.0","64.0","8.0","72.0","-","-","-","72.0","28418.0","93985.0","195333.0","9980.0","17754.0","-","223067.0","122926.0"
"14　紙パ_ 30～ 99人","4.0","167.0","83.0","250.0","-","-","-","250.0","χ","χ","χ","-","125501.0","-","χ","χ"
"14　紙パ_100～299人","1.0","74.0","30.0","104.0","-","-","-","104.0","χ","χ","χ","-","-","-","χ","χ"
"14　紙パ_300人以上","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"15　印刷","180.0","1135.0","550.0","1685.0","90.0","40.0","130.0","1815.0","453375.0","772995.0","1423752.0","347027.0","87535.0","-","1858314.0","977573.0"
"15　印刷_  1～  3人","99.0","51.0","57.0","108.0","69.0","31.0","100.0","208.0","23721.0","60875.0","104876.0","11700.0","1576.0","-","118152.0","54777.0"
"15　印刷_  4～  9人","52.0","141.0","111.0","252.0","19.0","8.0","27.0","279.0","58214.0","100558.0","192747.0","14389.0","13179.0","-","220315.0","114225.0"
"15　印刷_ 10～ 19人","15.0","145.0","74.0","219.0","2.0","1.0","3.0","222.0","65737.0","88877.0","176734.0","23185.0","688.0","-","200607.0","107129.0"
"15　印刷_ 20～ 29人","3.0","54.0","18.0","72.0","-","-","-","72.0","28464.0","61205.0","107280.0","-","6064.0","-","113344.0","50268.0"
"15　印刷_ 30～ 99人","10.0","361.0","149.0","510.0","-","-","-","510.0","χ","χ","χ","χ","χ","-","χ","χ"
"15　印刷_100～299人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"15　印刷_300人以上","1.0","383.0","141.0","524.0","-","-","-","524.0","χ","χ","χ","χ","χ","-","χ","χ"
"16　化学","90.0","3901.0","1005.0","4906.0","10.0","3.0","13.0","4919.0","2854740.0","1.5159591E7","3.1235483E7","446971.0","443250.0","55047.0","3.2180751E7","1.5717436E7"
"16　化学_  1～  3人","14.0","12.0","6.0","18.0","6.0","1.0","7.0","25.0","4777.0","22013.0","29544.0","1613.0","5112.0","-","36269.0","13578.0"
"16　化学_  4～  9人","26.0","106.0","49.0","155.0","4.0","2.0","6.0","161.0","62874.0","126678.0","240883.0","40859.0","29674.0","-","311416.0","177974.0"
"16　化学_ 10～ 19人","8.0","109.0","10.0","119.0","-","-","-","119.0","47882.0","195314.0","379586.0","1617.0","13933.0","55047.0","450183.0","250692.0"
"16　化学_ 20～ 29人","5.0","85.0","35.0","120.0","-","-","-","120.0","41302.0","484512.0","635942.0","31554.0","33461.0","-","700957.0","214197.0"
"16　化学_ 30～ 99人","31.0","1254.0","409.0","1663.0","-","-","-","1663.0","775278.0","4331448.0","6650432.0","367398.0","305786.0","-","7323616.0","2713619.0"
"16　化学_100～299人","5.0","659.0","259.0","918.0","-","-","-","918.0","χ","χ","χ","χ","χ","-","χ","χ"
"16　化学_300人以上","1.0","1676.0","237.0","1913.0","-","-","-","1913.0","χ","χ","χ","χ","χ","-","χ","χ"
"17　石油","18.0","966.0","92.0","1058.0","1.0","1.0","2.0","1060.0","731361.0","5.568938E7","7.7009424E7","119374.0","372362.0","-","7.750116E7","1.2045599E7"
"17　石油_  1～  3人","7.0","8.0","1.0","9.0","1.0","1.0","2.0","11.0","2978.0","49598.0","66491.0","1429.0","3437.0","-","71357.0","20822.0"
"17　石油_  4～  9人","4.0","14.0","9.0","23.0","-","-","-","23.0","8136.0","71334.0","189130.0","-","7977.0","-","197107.0","124395.0"
"17　石油_ 10～ 19人","1.0","11.0","1.0","12.0","-","-","-","12.0","χ","χ","χ","-","χ","-","χ","χ"
"17　石油_ 20～ 29人","1.0","19.0","4.0","23.0","-","-","-","23.0","χ","χ","χ","χ","χ","-","χ","χ"
"17　石油_ 30～ 99人","1.0","30.0","4.0","34.0","-","-","-","34.0","χ","χ","χ","χ","χ","-","χ","χ"
"17　石油_100～299人","3.0","373.0","22.0","395.0","-","-","-","395.0","244387.0","6731408.0","8183776.0","117945.0","205854.0","-","8507575.0","1562963.0"
"17　石油_300人以上","1.0","511.0","51.0","562.0","-","-","-","562.0","χ","χ","χ","χ","χ","-","χ","χ"
"18　プラ","122.0","1105.0","717.0","1822.0","37.0","18.0","55.0","1877.0","564592.0","2305317.0","4423897.0","135687.0","93810.0","-","4653394.0","2107681.0"
"18　プラ_  1～  3人","25.0","20.0","15.0","35.0","15.0","7.0","22.0","57.0","6923.0","15659.0","16627.0","8573.0","4970.0","-","30170.0","13846.0"
"18　プラ_  4～  9人","52.0","124.0","127.0","251.0","21.0","11.0","32.0","283.0","54426.0","132432.0","224976.0","22429.0","14268.0","-","261673.0","123163.0"
"18　プラ_ 10～ 19人","19.0","164.0","107.0","271.0","-","-","-","271.0","73896.0","190181.0","270957.0","55671.0","51668.0","-","378296.0","179650.0"
"18　プラ_ 20～ 29人","8.0","132.0","60.0","192.0","-","-","-","192.0","63014.0","174809.0","289871.0","20583.0","5322.0","-","315776.0","135688.0"
"18　プラ_ 30～ 99人","17.0","533.0","369.0","902.0","1.0","-","1.0","903.0","χ","χ","χ","28431.0","17582.0","-","χ","χ"
"18　プラ_100～299人","1.0","132.0","39.0","171.0","-","-","-","171.0","χ","χ","χ","-","-","-","χ","χ"
"18　プラ_300人以上","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"19　ゴム","20.0","664.0","438.0","1102.0","3.0","-","3.0","1105.0","χ","χ","χ","χ","χ","-","χ","χ"
"19　ゴム_  1～  3人","2.0","-","2.0","2.0","2.0","-","2.0","4.0","χ","χ","χ","χ","χ","-","χ","χ"
"19　ゴム_  4～  9人","3.0","9.0","8.0","17.0","1.0","-","1.0","18.0","χ","χ","χ","χ","χ","-","χ","χ"
"19　ゴム_ 10～ 19人","4.0","43.0","25.0","68.0","-","-","-","68.0","20138.0","41495.0","17318.0","56210.0","2500.0","-","76028.0","33246.0"
"19　ゴム_ 20～ 29人","2.0","20.0","36.0","56.0","-","-","-","56.0","χ","χ","-","χ","χ","-","χ","χ"
"19　ゴム_ 30～ 99人","7.0","195.0","153.0","348.0","-","-","-","348.0","111433.0","211290.0","382460.0","11513.0","12831.0","-","406804.0","170752.0"
"19　ゴム_100～299人","1.0","126.0","29.0","155.0","-","-","-","155.0","χ","χ","χ","-","-","-","χ","χ"
"19　ゴム_300人以上","1.0","271.0","185.0","456.0","-","-","-","456.0","χ","χ","χ","-","-","-","χ","χ"
"20　皮革","24.0","78.0","56.0","134.0","13.0","10.0","23.0","157.0","33719.0","93356.0","122094.0","34801.0","-","-","156895.0","58126.0"
"20　皮革_  1～  3人","10.0","2.0","4.0","6.0","9.0","6.0","15.0","21.0","1338.0","2168.0","3007.0","1895.0","-","-","4902.0","2603.0"
"20　皮革_  4～  9人","12.0","37.0","21.0","58.0","4.0","4.0","8.0","66.0","14459.0","44123.0","38186.0","32396.0","-","-","70582.0","25198.0"
"20　皮革_ 10～ 19人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"20　皮革_ 20～ 29人","1.0","19.0","6.0","25.0","-","-","-","25.0","χ","χ","χ","χ","-","-","χ","χ"
"20　皮革_ 30～ 99人","1.0","20.0","25.0","45.0","-","-","-","45.0","χ","χ","χ","χ","-","-","χ","χ"
"20　皮革_100～299人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"20　皮革_300人以上","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"21　窯業","125.0","1160.0","236.0","1396.0","25.0","16.0","41.0","1437.0","542151.0","2497552.0","3573560.0","903512.0","234306.0","167.0","4711545.0","2134028.0"
"21　窯業_  1～  3人","26.0","14.0","12.0","26.0","19.0","10.0","29.0","55.0","5858.0","37548.0","48479.0","2105.0","190.0","-","50774.0","12452.0"
"21　窯業_  4～  9人","48.0","211.0","73.0","284.0","5.0","5.0","10.0","294.0","100529.0","321091.0","555109.0","16056.0","39819.0","167.0","611151.0","280537.0"
"21　窯業_ 10～ 19人","34.0","385.0","74.0","459.0","1.0","1.0","2.0","461.0","174458.0","1005429.0","1582803.0","34538.0","78049.0","-","1695390.0","665675.0"
"21　窯業_ 20～ 29人","10.0","183.0","39.0","222.0","-","-","-","222.0","78235.0","187792.0","415977.0","-","90681.0","-","506658.0","308389.0"
"21　窯業_ 30～ 99人","6.0","221.0","22.0","243.0","-","-","-","243.0","χ","χ","χ","χ","χ","-","χ","χ"
"21　窯業_100～299人","1.0","146.0","16.0","162.0","-","-","-","162.0","χ","χ","χ","χ","χ","-","χ","χ"
"21　窯業_300人以上","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"22　鉄鋼","69.0","3600.0","235.0","3835.0","24.0","10.0","34.0","3869.0","2437742.0","6.6002156E7","7.8222493E7","412924.0","3413340.0","2115258.0","8.4164015E7","1.5037545E7"
"22　鉄鋼_  1～  3人","25.0","15.0","5.0","20.0","22.0","9.0","31.0","51.0","6039.0","16644.0","26126.0","14962.0","1062.0","-","42150.0","24569.0"
"22　鉄鋼_  4～  9人","17.0","89.0","17.0","106.0","2.0","1.0","3.0","109.0","37742.0","246972.0","338038.0","18497.0","4161.0","-","360696.0","108309.0"
"22　鉄鋼_ 10～ 19人","7.0","86.0","15.0","101.0","-","-","-","101.0","34599.0","223906.0","294738.0","10028.0","30719.0","-","335485.0","109819.0"
"22　鉄鋼_ 20～ 29人","5.0","99.0","15.0","114.0","-","-","-","114.0","42430.0","166121.0","114333.0","111699.0","-","-","226032.0","56982.0"
"22　鉄鋼_ 30～ 99人","8.0","348.0","49.0","397.0","-","-","-","397.0","167124.0","278521.0","1256030.0","141630.0","28349.0","-","1426009.0","1079435.0"
"22　鉄鋼_100～299人","4.0","726.0","30.0","756.0","-","-","-","756.0","403144.0","3311608.0","3561343.0","107089.0","54545.0","-","3722977.0","310443.0"
"22　鉄鋼_300人以上","3.0","2237.0","104.0","2341.0","-","-","-","2341.0","1746664.0","6.1758384E7","7.2631885E7","9019.0","3294504.0","2115258.0","7.8050666E7","1.3347988E7"
"23　非鉄","15.0","410.0","119.0","529.0","5.0","-","5.0","534.0","237359.0","3112663.0","3774112.0","47632.0","-","-","3821744.0","473599.0"
"23　非鉄_  1～  3人","3.0","2.0","1.0","3.0","3.0","-","3.0","6.0","1175.0","2740.0","6293.0","1142.0","-","-","7435.0","4471.0"
"23　非鉄_  4～  9人","5.0","16.0","5.0","21.0","2.0","-","2.0","23.0","7845.0","36002.0","44502.0","8170.0","-","-","52672.0","15877.0"
"23　非鉄_ 10～ 19人","1.0","13.0","3.0","16.0","-","-","-","16.0","χ","χ","χ","χ","-","-","χ","χ"
"23　非鉄_ 20～ 29人","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"23　非鉄_ 30～ 99人","5.0","262.0","96.0","358.0","-","-","-","358.0","χ","χ","χ","χ","-","-","χ","χ"
"23　非鉄_100～299人","1.0","117.0","14.0","131.0","-","-","-","131.0","χ","χ","χ","χ","-","-","χ","χ"
"23　非鉄_300人以上","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"24　金属","276.0","3006.0","665.0","3671.0","112.0","29.0","141.0","3812.0","1411342.0","4099191.0","7408360.0","1003898.0","544668.0","287.0","8957213.0","4514088.0"
"24　金属_  1～  3人","95.0","72.0","41.0","113.0","71.0","21.0","92.0","205.0","27603.0","57391.0","86005.0","36740.0","13101.0","-","135846.0","75013.0"
"24　金属_  4～  9人","85.0","331.0","123.0","454.0","35.0","7.0","42.0","496.0","135611.0","200243.0","315601.0","130482.0","33759.0","287.0","480129.0","267990.0"
"24　金属_ 10～ 19人","50.0","527.0","127.0","654.0","6.0","1.0","7.0","661.0","205786.0","432996.0","667003.0","191599.0","34787.0","-","893389.0","439479.0"
"24　金属_ 20～ 29人","13.0","250.0","66.0","316.0","-","-","-","316.0","95874.0","184897.0","318187.0","75589.0","17728.0","-","411504.0","219838.0"
"24　金属_ 30～ 99人","29.0","1379.0","238.0","1617.0","-","-","-","1617.0","699117.0","2342113.0","2956075.0","569488.0","445293.0","-","3970856.0","1454591.0"
"24　金属_100～299人","4.0","447.0","70.0","517.0","-","-","-","517.0","247351.0","881551.0","3065489.0","-","-","-","3065489.0","2057177.0"
"24　金属_300人以上","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"25　は用","71.0","2192.0","431.0","2623.0","19.0","10.0","29.0","2652.0","1250342.0","6322057.0","1.9620554E7","383807.0","41018.0","-","2.0045379E7","1.3079761E7"
"25　は用_  1～  3人","18.0","13.0","7.0","20.0","14.0","4.0","18.0","38.0","5717.0","7935.0","15886.0","2743.0","2046.0","-","20675.0","12132.0"
"25　は用_  4～  9人","23.0","107.0","37.0","144.0","5.0","6.0","11.0","155.0","54549.0","111441.0","226091.0","35703.0","11603.0","-","273397.0","155529.0"
"25　は用_ 10～ 19人","13.0","148.0","30.0","178.0","-","-","-","178.0","67755.0","165759.0","262929.0","34305.0","27369.0","-","324603.0","152176.0"
"25　は用_ 20～ 29人","4.0","76.0","23.0","99.0","-","-","-","99.0","32576.0","78330.0","83282.0","55344.0","-","-","138626.0","58229.0"
"25　は用_ 30～ 99人","8.0","316.0","82.0","398.0","-","-","-","398.0","157562.0","305571.0","686956.0","76600.0","-","-","763556.0","426879.0"
"25　は用_100～299人","3.0","401.0","61.0","462.0","-","-","-","462.0","χ","χ","χ","χ","-","-","χ","χ"
"25　は用_300人以上","2.0","1131.0","191.0","1322.0","-","-","-","1322.0","χ","χ","χ","χ","-","-","χ","χ"
"26　生産","175.0","3058.0","747.0","3805.0","51.0","13.0","64.0","3869.0","1694354.0","4347674.0","8314768.0","248905.0","125649.0","-","8689322.0","4208599.0"
"26　生産_  1～  3人","67.0","63.0","27.0","90.0","43.0","10.0","53.0","143.0","29697.0","93622.0","140807.0","22749.0","3766.0","-","167322.0","70346.0"
"26　生産_  4～  9人","51.0","239.0","62.0","301.0","8.0","3.0","11.0","312.0","105232.0","169177.0","348054.0","67105.0","8749.0","-","423908.0","244621.0"
"26　生産_ 10～ 19人","20.0","186.0","70.0","256.0","-","-","-","256.0","97436.0","189072.0","321162.0","27498.0","13142.0","-","361802.0","166356.0"
"26　生産_ 20～ 29人","11.0","242.0","34.0","276.0","-","-","-","276.0","113150.0","249043.0","599046.0","40094.0","1000.0","-","640140.0","382968.0"
"26　生産_ 30～ 99人","19.0","720.0","111.0","831.0","-","-","-","831.0","373926.0","981715.0","1796480.0","91382.0","15077.0","-","1902939.0","878342.0"
"26　生産_100～299人","6.0","635.0","187.0","822.0","-","-","-","822.0","χ","χ","χ","77.0","83915.0","-","χ","χ"
"26　生産_300人以上","1.0","973.0","256.0","1229.0","-","-","-","1229.0","χ","χ","χ","-","-","-","χ","χ"
"27　業務","20.0","768.0","430.0","1198.0","6.0","1.0","7.0","1205.0","582091.0","707078.0","1525685.0","10670.0","276995.0","-","1813350.0","1015087.0"
"27　業務_  1～  3人","4.0","1.0","3.0","4.0","4.0","1.0","5.0","9.0","1689.0","2443.0","3903.0","513.0","-","-","4416.0","1878.0"
"27　業務_  4～  9人","4.0","9.0","11.0","20.0","2.0","-","2.0","22.0","5603.0","3046.0","5752.0","2617.0","2441.0","-","10810.0","7465.0"
"27　業務_ 10～ 19人","1.0","11.0","8.0","19.0","-","-","-","19.0","χ","χ","χ","-","-","-","χ","χ"
"27　業務_ 20～ 29人","1.0","25.0","2.0","27.0","-","-","-","27.0","χ","χ","χ","-","-","-","χ","χ"
"27　業務_ 30～ 99人","7.0","227.0","96.0","323.0","-","-","-","323.0","102419.0","282256.0","405730.0","7540.0","15624.0","-","428894.0","129503.0"
"27　業務_100～299人","2.0","221.0","86.0","307.0","-","-","-","307.0","χ","χ","χ","-","χ","-","χ","χ"
"27　業務_300人以上","1.0","274.0","224.0","498.0","-","-","-","498.0","χ","χ","χ","-","χ","-","χ","χ"
"28　電子","15.0","633.0","326.0","959.0","3.0","1.0","4.0","963.0","χ","χ","χ","χ","χ","-","χ","χ"
"28　電子_  1～  3人","1.0","2.0","1.0","3.0","-","-","-","3.0","χ","χ","-","χ","-","-","χ","χ"
"28　電子_  4～  9人","3.0","6.0","13.0","19.0","2.0","1.0","3.0","22.0","2355.0","2266.0","1952.0","3500.0","-","-","5452.0","3034.0"
"28　電子_ 10～ 19人","2.0","18.0","8.0","26.0","-","-","-","26.0","χ","χ","χ","χ","-","-","χ","χ"
"28　電子_ 20～ 29人","2.0","13.0","32.0","45.0","1.0","-","1.0","46.0","χ","χ","χ","χ","-","-","χ","χ"
"28　電子_ 30～ 99人","4.0","205.0","47.0","252.0","-","-","-","252.0","86526.0","149560.0","380612.0","40168.0","11517.0","-","432297.0","256369.0"
"28　電子_100～299人","3.0","389.0","225.0","614.0","-","-","-","614.0","272722.0","426276.0","894347.0","-","30062.0","-","924409.0","408467.0"
"28　電子_300人以上","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"29　電気","55.0","1086.0","581.0","1667.0","9.0","4.0","13.0","1680.0","685700.0","3059811.0","4191546.0","133647.0","43603.0","-","4368796.0","1279402.0"
"29　電気_  1～  3人","13.0","11.0","6.0","17.0","6.0","3.0","9.0","26.0","4624.0","12988.0","27338.0","3854.0","5105.0","-","36297.0","22208.0"
"29　電気_  4～  9人","15.0","49.0","36.0","85.0","1.0","1.0","2.0","87.0","25788.0","43479.0","109889.0","7770.0","8646.0","-","126305.0","81570.0"
"29　電気_ 10～ 19人","6.0","40.0","41.0","81.0","2.0","-","2.0","83.0","25012.0","24608.0","60151.0","6692.0","7482.0","-","74325.0","47350.0"
