"従業者規模","事業所数","従業者数_（人）","製造品出荷額等_（万円）","付加価値額_（万円）　　","従業者規模"
"紀美野町_  4～  9人","28.0","170.0","118249.0","61011.0","  4～  9人"
"紀美野町_ 10～ 19人","6.0","82.0","97068.0","36704.0"," 10～ 19人"
"紀美野町_ 20～ 29人","5.0","114.0","173304.0","83639.0"," 20～ 29人"
"紀美野町_ 30～ 99人","6.0","277.0","441558.0","214689.0"," 30～ 99人"
"紀美野町_100～299人","-","-","-","-","100～299人"
"紀美野町_300人以上","-","-","-","-","300人以上 "
"かつらぎ町","95.0","1815.0","4019454.0","1654808.0","かつらぎ町"
"かつらぎ町_  1～  3人","48.0","93.0","187911.0","126083.0","  1～  3人"
"かつらぎ町_  4～  9人","27.0","156.0","120140.0","74240.0","  4～  9人"
"かつらぎ町_ 10～ 19人","7.0","104.0","132451.0","70589.0"," 10～ 19人"
"かつらぎ町_ 20～ 29人","2.0","49.0","χ","χ"," 20～ 29人"
"かつらぎ町_ 30～ 99人","7.0","396.0","1444267.0","490511.0"," 30～ 99人"
"かつらぎ町_100～299人","3.0","493.0","1537375.0","586883.0","100～299人"
"かつらぎ町_300人以上","1.0","524.0","χ","χ","300人以上 "
"九度山町","18.0","108.0","94413.0","56340.0","九度山町"
"九度山町_  1～  3人","10.0","19.0","9230.0","4863.0","  1～  3人"
"九度山町_  4～  9人","5.0","33.0","35585.0","19778.0","  4～  9人"
"九度山町_ 10～ 19人","1.0","10.0","χ","χ"," 10～ 19人"
"","","","","",""
"","","","","",""
"","","","","",""
"九度山町_ 20～ 29人","2.0","46.0","χ","χ"," 20～ 29人"
"九度山町_ 30～ 99人","-","-","-","-"," 30～ 99人"
"九度山町_100～299人","-","-","-","-","100～299人"
"九度山町_300人以上","-","-","-","-","300人以上 "
"高野町","32.0","158.0","152648.0","98932.0","高野町"
"高野町_  1～  3人","21.0","40.0","13979.0","10270.0","  1～  3人"
"高野町_  4～  9人","7.0","42.0","52904.0","27951.0","  4～  9人"
"高野町_ 10～ 19人","2.0","26.0","χ","χ"," 10～ 19人"
"高野町_ 20～ 29人","2.0","50.0","χ","χ"," 20～ 29人"
"高野町_ 30～ 99人","-","-","-","-"," 30～ 99人"
"高野町_100～299人","-","-","-","-","100～299人"
"高野町_300人以上","-","-","-","-","300人以上 "
"湯浅町","67.0","498.0","680521.0","315359.0","湯浅町"
"湯浅町_  1～  3人","31.0","66.0","25681.0","12369.0","  1～  3人"
"湯浅町_  4～  9人","23.0","142.0","132220.0","63399.0","  4～  9人"
"湯浅町_ 10～ 19人","7.0","98.0","209079.0","97289.0"," 10～ 19人"
"湯浅町_ 20～ 29人","3.0","73.0","35803.0","27194.0"," 20～ 29人"
"湯浅町_ 30～ 99人","3.0","119.0","277738.0","115108.0"," 30～ 99人"
"湯浅町_100～299人","-","-","-","-","100～299人"
"湯浅町_300人以上","-","-","-","-","300人以上 "
"広川町","22.0","318.0","605193.0","175811.0","広川町"
"広川町_  1～  3人","5.0","14.0","4196.0","2774.0","  1～  3人"
"広川町_  4～  9人","9.0","61.0","53704.0","15324.0","  4～  9人"
"広川町_ 10～ 19人","4.0","67.0","156188.0","47971.0"," 10～ 19人"
"広川町_ 20～ 29人","2.0","48.0","χ","χ"," 20～ 29人"
"広川町_ 30～ 99人","2.0","128.0","χ","χ"," 30～ 99人"
"広川町_100～299人","-","-","-","-","100～299人"
"広川町_300人以上","-","-","-","-","300人以上 "
"有田川町","88.0","1472.0","3907694.0","1150406.0","有田川町"
"有田川町_  1～  3人","45.0","84.0","33381.0","15740.0","  1～  3人"
"有田川町_  4～  9人","22.0","134.0","162126.0","79045.0","  4～  9人"
"有田川町_ 10～ 19人","6.0","86.0","869550.0","47670.0"," 10～ 19人"
"有田川町_ 20～ 29人","3.0","74.0","171102.0","76386.0"," 20～ 29人"
"有田川町_ 30～ 99人","9.0","555.0","1778341.0","507962.0"," 30～ 99人"
"有田川町_100～299人","3.0","539.0","893194.0","423603.0","100～299人"
"有田川町_300人以上","-","-","-","-","300人以上 "
"美浜町","25.0","220.0","285844.0","185975.0","美浜町"
"美浜町_  1～  3人","11.0","28.0","17189.0","10183.0","  1～  3人"
"美浜町_  4～  9人","8.0","38.0","24743.0","14327.0","  4～  9人"
"美浜町_ 10～ 19人","1.0","10.0","χ","χ"," 10～ 19人"
"美浜町_ 20～ 29人","3.0","78.0","141432.0","80747.0"," 20～ 29人"
"美浜町_ 30～ 99人","2.0","66.0","χ","χ"," 30～ 99人"
"美浜町_100～299人","-","-","-","-","100～299人"
"美浜町_300人以上","-","-","-","-","300人以上 "
"日高町","27.0","181.0","341876.0","143863.0","日高町"
"日高町_  1～  3人","11.0","20.0","29036.0","7457.0","  1～  3人"
"日高町_  4～  9人","7.0","34.0","χ","χ","  4～  9人"
"日高町_ 10～ 19人","8.0","90.0","161538.0","55827.0"," 10～ 19人"
"日高町_ 20～ 29人","-","-","-","-"," 20～ 29人"
"日高町_ 30～ 99人","1.0","37.0","χ","χ"," 30～ 99人"
"","","","","",""
"","","","","",""
"","","","","",""
"日高町_100～299人","-","-","-","-","100～299人"
"日高町_300人以上","-","-","-","-","300人以上 "
"由良町","24.0","599.0","2243793.0","1471894.0","由良町"
"由良町_  1～  3人","7.0","14.0","13201.0","5745.0","  1～  3人"
"由良町_  4～  9人","7.0","41.0","44919.0","21530.0","  4～  9人"
"由良町_ 10～ 19人","5.0","80.0","132208.0","65397.0"," 10～ 19人"
"由良町_ 20～ 29人","1.0","20.0","χ","χ"," 20～ 29人"
"由良町_ 30～ 99人","2.0","122.0","χ","χ"," 30～ 99人"
"由良町_100～299人","2.0","322.0","χ","χ","100～299人"
"由良町_300人以上","-","-","-","-","300人以上 "
"印南町","27.0","616.0","1728196.0","920711.0","印南町"
"印南町_  1～  3人","6.0","14.0","5106.0","2998.0","  1～  3人"
"印南町_  4～  9人","13.0","73.0","42994.0","29944.0","  4～  9人"
"印南町_ 10～ 19人","4.0","51.0","55151.0","15593.0"," 10～ 19人"
"印南町_ 20～ 29人","-","-","-","-"," 20～ 29人"
"印南町_ 30～ 99人","2.0","117.0","χ","χ"," 30～ 99人"
"印南町_100～299人","2.0","361.0","χ","χ","100～299人"
